title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
带60平花园，家具家电全是好材料，诚心出售价格可议,160,14414.4,堰山和畔二期,"['都江堰', '都江堰']",3室2厅2卫,111㎡,东南,精装,低楼层 (共7层),有,普通住宅,2018/10/23,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/9e119e454b2861a4a1b46e5a92e936d0/screenshot/1542682219_0/pc0_knc6SQ0yN.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-c3840a1a-87be-494b-b70b-abfe6604e14a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-43af7f03-3a1d-426f-9243-d7ecd704cf3e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-90485528-f78b-4549-b73c-a8a448363278.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8a701cc9-cf24-40ce-a563-d0bb280142c3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-da66719a-87bd-452e-8a54-3085460a2132.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105160394.html
蓝郡新界，精装套四，户型方正，内二环旁，双满,94,6000.3,蓝郡新界,"['都江堰', '都江堰']",4室2厅2卫,156.66㎡,北,精装,高楼层 (共6层),无,普通住宅,2019/4/15,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/1d171a3ff31ea89a67bd461deb06fde2/screenshot/1555205506_12/pc0_4v22Mvb45.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-10c7880a-d82b-428e-9093-f1c0fa2fcc1c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-b2180a99-5d82-45d6-b756-842eac376ab5.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d7c61691-ec85-4a89-98b2-963b6a289059.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-089e4337-2cfc-401d-af76-802b7fc6d07f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-2b71e5a1-8f40-4da0-95be-4abc42937193.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-22661321-4bda-412a-a0f9-c04fda461817.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105232175.html
大跃层   精装修  带2个大平台,240,11267.6,紫坪丽景,"['都江堰', '都江堰']",5室3厅4卫,213㎡,南,精装,高楼层 (共4层),无,普通住宅,2018/11/14,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/81360276fcff6b7141117e15aee9528d/screenshot/1562994528_0/pc0_SqitR1uSj.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-07f7e54d-4399-49c9-8910-319b9fb73f27.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-08ec4026-01bb-41f4-ae30-4622abe15a07.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7a442d49-c6d6-477f-9902-25c8b72a3645.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-da12d10c-a6cf-46d8-9975-7a2be09af324.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d56807d5-b012-4bdb-9ffd-05abaecf014f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-71b4afff-130d-491c-8563-61f0d0b0b81b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105252999.html
兴堰逸苑 3室2厅 户型方正 采光好,70,6250,兴堰逸苑,"['都江堰', '都江堰']",3室2厅1卫,112㎡,东,精装,高楼层 (共6层),有,普通住宅,2018/11/15,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/23ba7cb54546532531d9b5c4953aeb00/screenshot/1565680681_0/pc0_Y6wI6P2Ea.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-65634c92-569d-41e7-a957-0296e982fad7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-11e2459b-154f-499b-a447-3b8bba0b41b5.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-facacd92-7154-44b1-ad52-83621db851d7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-73ece89c-5ea4-4c5b-b293-6580e8938057.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0e598a16-7c0f-4a78-a477-5ced4ab99d47.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105595691.html
钱江美誉 一梯两户 户型方正 带100多平大平台,166.8,14504.3,钱江美域,"['都江堰', '都江堰']",3室2厅2卫,115㎡,西南,精装,低楼层 (共11层),有,普通住宅,2018/11/6,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/855b53c85d8a065b46409b54cd2bf455/screenshot/1542789755_1/pc0_aOuVsZexe.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-3d6d0a20-35ef-4ae6-8980-72755ff2ffe8.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-6a4357a2-3969-45b1-935c-5681a8d8537c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8c58994f-8cb0-4199-a41b-b1c3aba2f6fd.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-85bae37c-b523-491f-b2c3-92e850f81675.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-38c47f9d-1cc2-4aa0-9944-4afc4242e769.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-e1e70b06-097b-4d14-a313-52c66391b6ab.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4954f0d1-7381-403d-ad90-531fb332f9db.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7de8ec83-1199-42c0-8670-e5ef1449ed9b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-aac0f6ea-ffbc-42b5-ad8d-48af009ee255.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b62361bb-9fda-46bb-b05d-76930b758e8b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4e5911ac-931b-4578-ae30-201f724f8379.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d6362979-1128-4a4f-a624-ba18e8d610a0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-96eb3037-9b5a-48d5-a578-acfe3e7240a2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106630856.html
一环路小户型，是您孩子读书改善好选择,36,6224.1,天和天逸花园,"['都江堰', '都江堰']",2室1厅1卫,57.84㎡,南,简装,高楼层 (共6层),无,普通住宅,2018/12/7,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6e03e80791aebaeff6e339e6ecacef2a/screenshot/1552904647_0/pc0_dtbdMcwyt.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-da90a5a1-050a-44e8-8293-2d08b660144e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-efeb14bd-cdb2-4135-8188-2ed7872550e9.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3ae5f7c5-41c2-47aa-a437-52279c16f19d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7e86733a-f68e-48be-81bc-686fb3494d50.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106890022.html
高铁站震后电梯品质小区环境好舒适干净,60,8333.3,紫荆城,"['都江堰', '都江堰']",2室2厅1卫,72㎡,南 北,精装,中楼层 (共11层),有,普通住宅,2018/9/27,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6ea101f957562a3fc47e5484a14a0387/screenshot/1544335129_9/pc0_DaPpbZwN2.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-fb93ce8a-1d12-42c7-b1ba-b026e34a8eaa.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-49d04f58-4d6b-4aac-a586-3fde9a6b2b7b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-82674a9f-044e-49ac-a441-e887d09074a3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-61e55ecc-566e-4114-b855-6474bce3f0b7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107016918.html
错层大套三双卫带书房 带大花园车库都有产权 住家精装,132,5789.5,新乐苑(新乐巷),"['都江堰', '都江堰']",3室2厅2卫,228㎡,南 北,精装,低楼层 (共6层),无,普通住宅,2018/12/3,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ce8e4f5f96c12ae78e153c5d4e5503b6/screenshot/1544259390_0/pc0_NhcEOR1RX.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-14d502bb-0e58-4c88-a0a7-185b00c2387b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-f3dc99c6-e219-486b-b010-e0c661ac61f7.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8cb79bc7-fb4d-4b21-9c7f-57349546ed11.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-01bd8240-f9c6-4e9c-bba5-8ddb3267932c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c96ad685-4685-4a2c-abec-f565230f143c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-78cfa989-b20f-4c64-807c-361c48b607fd.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107062948.html
柏条河 商品房套三2楼带地下室 紧 邻大润发,74,5873,都江花园瑞园,"['都江堰', '都江堰']",3室1厅2卫,126㎡,东南,精装,低楼层 (共7层),无,普通住宅,2018/9/27,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ce33ce9f9fbe158604b45dfb17bba7b0/screenshot/1551331153_0/pc0_ZwdXUqcvA.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-c1da2ce3-f8aa-44bb-afb6-5d72142bd7f0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-15c31253-0578-4d02-a0e8-c6133e4135e2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0caadeee-2dc4-41e1-8855-51612ac02df5.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-58f0f896-883c-49b9-b736-90be17a46138.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-949ee0a9-4c86-4b43-abe1-d60e249d4115.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107329357.html
春天花园 电梯顶跃 *套四 产权清晰,81,8175.2,春天花园(文荟路),"['都江堰', '都江堰']",3室2厅2卫,99.08㎡,南,毛坯,高楼层 (共8层),有,普通住宅,2018/12/16,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0aae6276a20050cf211fbfe2bf040322/screenshot/1545356968_3/pc0_pewkspQpJ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-326aa79b-4cc0-4bee-8733-0baa7d3d6778.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-b2803363-b957-4d79-bd29-cc34cd4cfad9.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-867b32c0-0ef4-4975-b3bc-2be31312eb85.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-54a562e2-167e-4c8e-bc3a-ff251ce77853.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1e9b37ce-743a-46ba-9f18-9b16343eccc2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107575981.html
