title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
城南片区 电梯清水房 内跃，入户花园大，有钥匙！,86.8,8868,瑞信云鼎,"['简阳', '城南片区']",3室2厅2卫,97.88㎡,东南,毛坯,低楼层 (共27层),有,普通住宅,2019-01-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6a3d487f9ba8238389040302a1d26d13/screenshot/1550218535_0/pc0_67TBaC8Xk.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-0e80ddfa-9369-4713-90f1-eb103e6add81.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-57cdeb3f-3a3d-4d3b-8578-8fb22696dbc8.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b0c5009a-170b-45fd-866b-a23a31744716.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012217710100134314.html
金地花园 三室两厅 小区干净整洁 适合居住,166.8,11914.3,金地花园,"['简阳', '河东新区']",3室2厅2卫,140㎡,东南,精装,高楼层 (共11层),有,普通住宅,2019-01-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/69086954a17575eae077202919e1a9bb/screenshot/1557204017_0/pc0_LtdAx9tHH.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-2a626e4b-6ccd-46e3-bb46-79fa2e821781.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-527dc4fe-c767-4cf8-8a3f-4312a8bdae4b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-770eb38b-c81d-4533-ae45-23168410a990.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8370c107-b4e2-456e-aef0-f40c100a1dda.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-823d54cf-7a02-499f-b51f-bc98f1536a67.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-43af7718-cba6-4c79-aafe-89e90c2e5196.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012217710100141247.html
业主再次降价，证满两年，装修套二，楼层好仅76.8万,76.8,9168,河景馨城D区,"['简阳', '城南片区']",2室2厅1卫,83.77㎡,南,简装,中楼层 (共6层),无,普通住宅,2019-01-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3398dd0b1da41468b3cdef8476f0e2fd/screenshot/1548308708_0/pc0_udgCf8GgI.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-8de03ad9-4bcd-4f9d-84d1-2602eada7451.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-82e754bc-0fa8-44dc-98d1-eb77c6afb70b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f603e046-1036-4298-9832-e560a0280657.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-bf364fc4-f715-4385-a0d5-5a5df559a3e9.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-563941fc-96e0-42f3-8560-d79b9618b1db.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a86486b3-cb6a-4c4e-bc32-e24aa157cec3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012217710100141314.html
依云谷 电梯小高层顶跃，带楼顶花园,188,14803.1,万峰城A区依云谷,"['简阳', '河东新区']",3室2厅2卫,127㎡,南,毛坯,高楼层 (共10层),有,普通住宅,2019-01-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/bea1a007b73b0c00243fdac4c8c0f9e8/screenshot/1553232969_2/pc0_nJQAOfgT4.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-951043d9-3f2e-415a-8d9c-5640369683a3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-57c9efce-4d71-4f03-8f0e-10bb2cbdf34b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-06c22dd5-5636-408d-9555-754214cb2a4d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f6609c07-02f3-4e01-ba48-8eb78858a4af.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012217710100156988.html
交通便利 小区环境干净舒适 适合居住,89.8,8803.9,凯力威锦绣阳光,"['简阳', '高铁新区']",3室2厅1卫,102㎡,南,精装,低楼层 (共18层),无,普通住宅,2019-01-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/cb60486c579f621be175b304d8925568/screenshot/1554523869_9/pc0_NegSwKXlv.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-3c5e55ab-945c-46ab-8b04-bde3ef613386.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-52215f66-0899-4409-ba13-996d293bea5c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8e79b6b5-4a9d-4c79-8431-45031f66ab1f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-bb06fdfc-6ad4-4ffb-ae92-8e496faebf4d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-89127677-40f6-4dec-a98b-0dc62910dc6e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012317710100134488.html
香山和苑 底跃带私家花园 户型方正 随时看房,158,8267.1,香山和苑,"['简阳', '河东新区']",4室2厅3卫,191.12㎡,东 东南,毛坯,低楼层 (共6层),无,普通住宅,2019-01-28,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/9d3b25d20d14edc0cb19316e9ee78760/screenshot/1550719534_17/pc0_io6ZoN7lB.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-67382fe5-bab2-44d2-8b1d-6ba6e4e04c63.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-6d8a79ac-9341-494a-b339-e6900ea0afd9.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0c11288a-23c4-41ca-be21-dd3ce7de3092.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-179db5b8-8dbb-4d74-bf5c-9e0b9cde7003.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9491e4ad-ae5b-47f1-bdeb-63a1374db7c9.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012817710100130717.html
港通花园，错层装修大套四，满2年无增值税，看房预约,102,5999.6,港通花园,"['简阳', '城南片区']",4室2厅2卫,170.01㎡,东,精装,高楼层 (共7层),无,普通住宅,2019-01-26,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/11f1667fe4a29c86232dc9a716765534/screenshot/1548646517_0/pc0_xIGcVcY4P.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-e5efeeea-8ec0-48e2-83f2-104f9570eb55.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-3a12c390-f53b-4f2e-8ee0-5fd6f5db5a0b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-971cb8ae-2972-4ba2-a8eb-ebfd00a0cfa7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-38aa2bb1-d64f-4f89-84b3-5b5bafadf14b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8088c4cd-d8fd-46ea-b776-2aac3a77a153.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5f7d985c-bf28-4bd0-b3a6-5b673f45290b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a04647a4-0609-4f6d-96c3-b7a2d51eb66e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19012917710100105573.html
精装套三 跃层  产权清晰  高档装修 诚意出售,138,10891.9,二号花园,"['简阳', '河东新区']",3室2厅2卫,126.7㎡,东南,精装,高楼层 (共15层),无,普通住宅,2019-01-30,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/5218e77541640aa8a4f52fadf4f181cf/screenshot/1548826092_14/pc0_imPrFtIwO.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-dbb013b2-94c0-4857-9606-37140a6363a1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-fe7a7338-86fa-4bca-ad37-059c9685458a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f0480b91-6e0b-4474-9b8f-4222b1ce55f4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3b0d37cf-0580-4b0d-8f34-69cbf2742841.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d8d39b40-9f62-49eb-b2f8-01e9e1566f73.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-627eb61f-adba-4c37-a931-6c37822661a1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-6ca0a3cc-e334-4f36-b18f-3571914babd0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-733af8c5-471d-4f27-aee3-cf2f045357a2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1f5faf83-a00a-4cb0-965e-bbbf67c05582.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19013017710100107564.html
金色海岸小区3室2厅 交通便利 小区环境干净舒适,108.8,9950.6,金色海岸,"['简阳', '河东新区']",3室2厅2卫,109.34㎡,西南,精装,高楼层 (共6层),无,普通住宅,2019-01-27,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3a30c63ca8d9751f9735719c71e148d7/screenshot/1548739358_4/pc0_CnvsyotTH.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a3fa5499-af50-411a-bf1f-761189bacb3f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-1d4bc595-597c-445c-914e-c0b467bbe318.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f6607cae-dec2-495a-ab1f-524a86d1872c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-035f2c71-2bea-4ab1-a070-5c9e41156d10.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-18a77e1e-5fe0-4080-a9e1-65f4c495ab21.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-fa7bf118-211f-4ba8-9ccc-9bef76a85856.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f0fded53-a009-4f5a-ad93-ae10877fa37a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19013117710100106464.html
香山和苑底跃，带大阳台，带后花园，拎包入住。,238,14166.7,香山和苑,"['简阳', '河东新区']",3室2厅1卫,168㎡,南,精装,低楼层 (共6层),无,普通住宅,2019-02-23,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/37941d20518b2598f3fd9d61a40a3753/screenshot/1553310145_4/pc0_Wp4yxYqS2.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-278fec1f-7aa2-40d6-a1df-6d9c526bec86.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-07dd2a70-221e-4df2-8205-0e82838ad37e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4dd07b81-58d5-4da6-953e-24c9a1f1826c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ff7b9274-8779-4d8a-b241-d74bef96b19c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8895ffb0-cdcf-40b0-a50c-6ae72ed97de8.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-18d10dd6-a218-4059-8a8d-9ec75d5ff39e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-55bbb334-2397-4571-b0b1-274812dd5540.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0023b743-9714-4f56-a1fb-446643ece9e7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19022317710100115859.html
