title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
满两年实用套四带保姆间 楼层好 正对中庭 安静宜居,615,34336.4,天誉花园,"['锦江', '东大路']",4室2厅2卫,179.11㎡,东北,精装,高楼层 (共31层),有,普通住宅,2018-06-04,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/267de5897a7d685dc32b4109bcc2d3c7/screenshot/1574410323_0/pc0_lueyJdHRa.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_wCuzW2uTs_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_e1221b9a-b3d1-4333-9bb8-28a1d0d3dbd6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_bcxwykU6O_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_o1Z83ljy2_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_nGSHL5DK9_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_pzVdQ5ODr_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710103685532.html
华都美林湾 套一单卫 对中庭 东南朝向,85,15254.8,华都美林湾,"['锦江', '三圣乡']",1室1厅1卫,55.72㎡,南,精装,高楼层 (共30层),有,普通住宅,2018-09-14,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/975a7714cc5572d7c1a882ffa1faf9ac/screenshot/0_0/pc0_RQuTLtUUq.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-5e162e54-5d51-4d06-9a62-c039d7cde480.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-7adbf30e-eced-40b7-b027-57be62f0eb45.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104054629.html
民馨南苑  居家套二  看房很方便,70,9302.3,民馨南苑,"['锦江', '三圣乡']",2室1厅1卫,75.25㎡,东南,简装,高楼层 (共6层),无,普通住宅,2018-12-05,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/34383e5a53b5f61196ee69af16d40645/screenshot/1561518006_2/pc0_jtvplNpcf.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-46dc50ed-6f73-46ef-8794-c6e2a08823af.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-327b1272-63bf-454a-aa2f-6d06e0ddf2bd.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1d69ff83-0b40-48e3-a62c-260d14352983.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ae2f6395-1f06-428b-ba29-c9831e5c28f5.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ae43d7f8-f458-4f0f-97f5-5f700793f5f4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-418be52d-c7e6-4e1d-92fe-ac61f10bd090.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105238425.html
华都美林湾套三双卫 装修未入住  正观幸福梅林景区,255,19770.5,华都美林湾,"['锦江', '三圣乡']",3室2厅2卫,128.98㎡,南,精装,高楼层 (共28层),有,普通住宅,2018-08-20,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/bf623e084c1af970df126bb00a73f18e/screenshot/1572157668_0/pc0_KZ5MCH2CP.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_aW4cJnSTh_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_3777e3fb-ef6e-4bd4-af00-47f9b13f80ef.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_Zvdsz1Hlc_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_pAwBvKyxy_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_InFg7pN9R_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_z8IIIt8PD_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105367531.html
蓝润锦江春天套三花乡农居华西附二院旁，低楼层电梯房,120,16755.1,蓝润锦江春天,"['锦江', '三圣乡']",3室1厅1卫,71.62㎡,东南,简装,低楼层 (共18层),有,普通住宅,2018-09-07,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/137d2609d5168eb682469039714d97b0/screenshot/0_2/pc0_P6qmsnbAN.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-da26505a-b776-4e02-8125-baa98955a819.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a7201250-aa74-4d02-ad04-de8a4a5b5367.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-3c387e38-fd49-4b2a-b25b-ec7bb46dd164.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a04e0fd5-d4e9-4170-9854-add7011769e3.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-622a663f-da78-49d4-97d4-359a70b4c70e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-0995b14e-5483-4525-ad76-1da66fbf6265.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-879d1530-0dea-457c-809a-2358e076f5e1.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-5922baa8-8b10-4894-be03-9bbee955471d.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105734363.html
春熙路恒大 朝东 地暖精装两居室 此价含车位,300,33867.7,恒大都汇华庭,"['锦江', '合江亭']",2室1厅1卫,88.58㎡,东,精装,高楼层 (共50层),有,普通住宅,2018-06-19,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/64ac5f6992ec0f61fd8b5e0cb33eb1c7/screenshot/0_0/pc0_jnB2Jf9DL.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-0bc15ffe-aeab-4193-afea-55be5613fe11.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-f19703c0-5a7e-4e09-9484-88ab6f4e1a7c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-8762b5d5-a9a9-4fab-b6a0-5632480ef91f.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-d45829a9-34e5-443e-9798-f5f05898b8c2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-42142ed5-7522-4f99-aa16-beefa8611e92.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a285a4a6-24da-4e12-a20d-8fa590f12193.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-33ae9307-407c-4fb5-b2b8-dd2f948b0512.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106310259.html
锦江川师，学府芳邻顶跃带花园，户型方正，采光好,180,14791.7,学府芳邻社区,"['锦江', '东光小区']",4室2厅2卫,121.69㎡,东,简装,高楼层 (共6层),无,普通住宅,2018-09-28,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/72a53d584e684d215c4863367f553928/screenshot/0_1/pc0_bBBkycRqE.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-ed1ffb0c-ba38-425f-94c1-7118b9c24435.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-afdd4264-55aa-4fc5-aed3-46fdafcb2413.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-9d712577-7821-49ae-a7df-a8ab865a9464.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-e6332363-dec3-4f50-8048-004dafeed584.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-4cd930d1-be4f-465b-b6d5-4162899a2704.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-7ab4327f-d7b0-4b6a-bf95-012d72148e0a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-4b88ebee-d497-48ef-afc5-64ee98f9dff0.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106026968.html
凯丽香江顶楼套三，户型方正，中等装修，看房预约。,165,15714.3,蓝光凯丽香江,"['锦江', '琉璃场']",3室2厅2卫,105㎡,北,精装,高楼层 (共42层),有,普通住宅,2018-03-28,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0df91456d60b544718e45d6b6246b389/screenshot/0_0/pc0_8Ny3Yr5GU.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-e0ec1c31-e253-4079-8ee9-7e63035a1e7e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-faf9ee10-43f2-4bc1-ae4f-01abc3336431.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-90c67a15-58ec-4ec1-ba5f-1f1cdded56a0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-063c9c7f-668f-4d7d-a5d4-f9c65fa002ab.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-574a1eb4-2899-43e0-94d6-beaa93909947.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-8103a3f3-4bf0-4909-87c2-4a50da88a279.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-b09a48e5-7655-4231-93d7-79f92d9a665e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-fa3d87eb-be0b-4c3b-8945-23f5d4b0f38a.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106568371.html
新沙河阳光水岸 客厅带阳台，屋顶带花园，东南朝向。,378,21716.6,新沙河阳光水岸,"['锦江', '攀成钢']",4室2厅3卫,174.06㎡,东南,精装,高楼层 (共6层),无,普通住宅,2018-05-01,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6d8ea6b9b73de513d75d59c484d62b50/screenshot/1550209586_0/pc0_7CThyvupZ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-872def29-f838-454f-8960-1a39bdeedec5.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-239b5368-9a48-4457-bff5-757cccae3df2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ebb50523-f799-4738-a8f5-15d107fc56af.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-40de95d3-23e3-4955-adc9-1b29b911e8cb.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0a735842-9090-4497-a067-8219c336cdbf.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106745384.html
小区门口就是地铁站的三居室就在金象花园,116,13583.1,金象花园一期,"['锦江', '东光小区']",3室2厅1卫,85.4㎡,东南 西北,简装,高楼层 (共6层),无,普通住宅,2018-04-25,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/f0206fd4da20b54c9b055a0cac34d2d9/screenshot/1573710321_0/pc0_DpElwy0Df.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_J95mDPgBS_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_87122ded-08bc-4c90-831a-07cd11994e70.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_u4zKjaHON.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_UTr93GFti.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_e09BbrSAT.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_jHzfcnnow.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_q6Sr4JhsC_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107007780.html
