title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
户型方正，一楼带花园..................,56,6363.6,鹭洲城邦,"['金堂', '金堂']",3室2厅2卫,88㎡,南 北,简装,低楼层 (共18层),有,普通住宅,2019/9/9,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/378a1e793203a6a70c6eb1b7c38c93f2/screenshot/1576142327_5/pc0_D7jzrVKOn.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_mmXlZKCDS_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_43b8cb90-f262-4316-a9b2-fcf9e7b46b82.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_yzzf5yzgo_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_xFYOD1OdR_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_PV5gJjkNG_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19090917710100133056.html
清水房，对小区中庭，看房方便，采光好,61.2,5774.7,金海岸·天府花园水城,"['金堂', '金堂']",3室2厅2卫,105.98㎡,东南,毛坯,低楼层 (共6层),无,普通住宅,2019/9/30,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/a23d796bd0b04df6b20c02bbdeb98859/screenshot/1574916714_3/pc0_xvOaqaJbb.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_Ud8BgZfI4_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_094ba601-69f6-42f7-9f4e-ece1f3896123.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_JVDcP0UoP_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_MWTFpgWo1_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_9DAPDTEUq_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19093017710100156242.html
金堂县现代名都，标准大套三双卫，房东诚心出售,65,4513.6,现代名都,"['金堂', '金堂']",3室2厅2卫,144.01㎡,东南,简装,高楼层 (共6层),无,普通住宅,2019/10/28,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/5e6cbe51e427b757b93e16060827b434/screenshot/1575004741_0/pc0_IOTQJH49n.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_EhJRPkycl_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_22c9bd30-c171-4965-9b98-801c688a9f41.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_cQzVIC1gq_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_yz4PaxsSN_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_PGYoryQtP_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19102817710100111099.html
标准套二  诚心出售  好楼层,45,5698.4,水城师苑,"['金堂', '金堂']",2室1厅1卫,78.97㎡,东 东北,其他,中楼层 (共6层),无,普通住宅,2019/11/5,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ca5add10da568e1f1db8bf92f3280f35/screenshot/1574994979_6/pc0_cEmsC6XRE.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_4084gvlBX_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_6468d312-5b94-405b-befc-e83069d5f812.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_6GWnQVgTD_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_tLcXdO8k8_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19110517710100120582.html
北滨一号全视野河景房，装修9成新。随时看房,76,5758.4,北滨1号,"['金堂', '金堂']",3室2厅2卫,131.98㎡,东 东北,精装,高楼层 (共26层),有,普通住宅,2019/11/7,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/de6b2dc594ff8a5d9fc772c21ef416a9/screenshot/1577334028_6/pc0_UVTlN1FLG.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_8gxRbZWPN.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_69ffbe74-88db-47c1-843d-f29cc679177e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_hD3VbTUON_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_xgePnTs7U.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_iMKT5GHQ6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19110717710100185411.html
捡便宜了 车站旁 满二 大套三双卫 单价才4千,52,4103.5,现代名城,"['金堂', '金堂']",3室2厅2卫,126.72㎡,东南,简装,中楼层 (共6层),无,普通住宅,2019/11/9,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/91a5df687610e5f15d7fc1150c236e6c/screenshot/1577677814_0/pc0_SzED7apdX.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_JYOlHIcaW_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_fc5dc532-7f7b-47fa-8ebb-301ac114c477.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_R4huX1jLt_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_j7EO2Z4Ew_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_DVTeNWnky_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19110917710100130588.html
恒大御景半岛 精装修 价格美丽 视野开阔 空房出售,83,6640,恒大御景半岛,"['金堂', '金堂']",3室2厅2卫,125㎡,南,精装,低楼层 (共25层),有,普通住宅,2019/11/19,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/38c43249f45b6b85cb570522bd46c686/screenshot/1575004096_0/pc0_0fBjRSg9D.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/504e6d05-770f-4196-830a-59760a6b4494_1000.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_46f77dd4-418b-4796-984b-3db0586b84d2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_zYlDEcwL8_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/1e0116f2-9859-4839-9ca6-ff749e221bc6_1000.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/e21b4e7a-b77d-4b06-816f-09455003d300_1000.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19111917710100157816.html
清水房 可自行装修，单价优美 位置巴适,57,4514.5,华堂小区,"['金堂', '金堂']",3室1厅2卫,126.26㎡,南,毛坯,中楼层 (共13层),无,普通住宅,2019/11/20,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/4d42b724551a4ec80daa8a55a351b7fe/screenshot/1576895037_0/pc0_jt9hvgQ09.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_XnJS7Dg5R_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_7fed0de1-ddf9-40e7-b9cf-a63e28c293ce.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_9dAtK6dR8_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_V0SEhMSLU_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_dIZHC9rWS_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19112017710100126540.html
业主急售 万达商圈 户型方正 人流大 交通便利,75,6465.5,金都华府,"['金堂', '金堂']",3室2厅2卫,116㎡,南,精装,低楼层 (共32层),无,普通住宅,2019/11/20,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0545e7b7002cba6f40615e769776a18e/screenshot/1577341078_0/pc0_Kp6C9osHS.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_isW67jkx7_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_af73a829-7377-4e3a-a523-3f0a182446ca.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_XH0Rqns0G_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_E1w1sXqhn_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_1AsbYmahT_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19112017710100198051.html
金堂永辉旁边金都华府中庭中间有装修通透采光,69,5948.3,金都华府,"['金堂', '金堂']",3室2厅2卫,116㎡,东南,简装,低楼层 (共32层),无,普通住宅,2019/11/20,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d74e7d69afbd1332e2e211eda0971e0e/screenshot/1574997478_0/pc0_1bw12Ku7D.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_opuTTlEOX_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_b89d6030-4e92-4579-ac76-67efc4447fd5.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_x0Rs2Flkt_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_PNLgVGb8R_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_4t5qLexkG_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19112017710100198547.html
