title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
F区3栋位置精装套三   房子装修漂亮,120,9090.9,丹郡F区,"['彭州', '彭州']",3室2厅2卫,132㎡,南,精装,低楼层 (共24层),有,普通住宅,2019-02-27,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/9758f066fc5d6c5cb177a86a98bb1353/screenshot/1551259084_0/pc0_PIQXe9AZl.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-26a586e0-7f2e-4df5-b301-779493164620.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-ec37a459-c5ee-458d-949a-fa057682852c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-95333d6b-90c2-4991-ac66-5d602ab7644e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4b8cdcdd-b42a-4055-bed1-8c815f7bcecc.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-616d41c7-8e4f-4a8c-99ae-5dac7cbec26c.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19022717710100154463.html
天立世纪华府  套三双卫 户型方正 采光好 朝向好,100,8620.7,天立世纪华府,"['彭州', '彭州']",3室2厅2卫,116㎡,南,精装,高楼层 (共31层),有,普通住宅,2019-03-01,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/8faf9a97288ac99679357cfa9b7e70ed/screenshot/1551434174_1/pc0_4Ey8ShY59.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-4d84cc9a-d4a4-4fe1-8a77-5623019f65d9.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-c33fd3e5-24c1-4f71-8a9e-327393a2b578.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8bafbd8f-5e4b-4b8a-8ec6-112c63c763a8.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-bc5f910e-2e71-42b5-a43b-ba501029fc81.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-05c3ab00-8477-4e4d-a064-12b3127d1328.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030117710100170362.html
清阁苑  户型好采光好 无浪费面积,54,5357.1,清阁苑,"['彭州', '彭州']",2室2厅1卫,100.8㎡,南,毛坯,低楼层 (共18层),有,普通住宅,2019-02-28,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/bef184d4c8d96d19525b68da99850de6/screenshot/1553758324_1/pc0_fi4yyOaJf.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-83730562-562a-4e1e-a16b-bcbccb738feb.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-8b96ab78-dcaf-45d0-83d9-715ba389ca4a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-da9752c3-0643-405d-8bae-fa73f2d43485.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030117710100171862.html
世纪华府精装套三，拎包入住，户型周正,83,8505,天立世纪华府,"['彭州', '彭州']",3室2厅2卫,97.59㎡,东 西,精装,低楼层 (共30层),有,普通住宅,2019-03-02,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d607f05d2bd5132b7ba093f4d30cf310/screenshot/1553914691_4/pc0_gXg7AMhuC.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-b21bcef9-7360-448f-937c-3324bce684d9.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-00997d89-6fbe-495c-9db2-87a9a6af2aaa.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-dca6d163-dfe0-4b5b-a1c6-d1c1c6e0d2d6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0f31191f-6c29-446d-8dc5-350dac9a7018.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030217710100150471.html
套二 简装   户型好   南北通透  采光好,35,4166.7,固信花苑,"['彭州', '彭州']",2室2厅1卫,84㎡,南 北,简装,高楼层 (共6层),无,普通住宅,2019-03-04,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/627229e92cf4cd33cb68d68d6adf6173/screenshot/1558763429_1/pc0_7vS2K1IiA.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-fc27e119-d558-484b-9d22-0548135f1960.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-bc25121c-4da3-4b27-9598-f5375528066a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5e8c0af2-0b1b-4145-a844-2b2015e09fc0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-61a79ce1-33a5-4ad2-8bee-89adaa04f3de.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-cca9e7d8-3165-4372-983b-2464178cdd32.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030417710100118562.html
小区环境好，高铁就在边上，停车方便,75,7352.9,天立世纪华府,"['彭州', '彭州']",3室2厅2卫,102㎡,东南,毛坯,低楼层 (共30层),有,普通住宅,2019-02-22,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/83acdc5e9eb0284e1ab8eadc56c6911c/screenshot/1555057915_2/pc0_N0UdBM5cR.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-bb73329d-51cc-46eb-88c4-ea70a23b2de0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-a197efa0-2570-4b0d-b4fe-770003c30bba.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-63c31b6a-a01b-4293-a088-5f05ab6393fe.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0355958d-a3dc-4815-bf67-a5bde7fda949.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-44d8c947-3a08-4522-8fd6-0706097d4d55.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-105747ea-0f4b-4c85-84d4-3180bca4574f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030517710100151516.html
低于市场价，采光好，户型方正，好装修,51.5,7803,置信逸景苑,"['彭州', '彭州']",2室2厅1卫,66㎡,北,毛坯,高楼层 (共26层),有,普通住宅,2019-02-22,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/7fd15283a3498db7abc518513ec4e020/screenshot/1555567907_5/pc0_bPxOn0nbT.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-8fde2328-e42c-4344-831b-38f98e147f2a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-05bad5e6-78ce-4423-8dbb-9ab36451f9f4.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9d2add41-3ec6-4246-a72f-cab729aa71db.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1f715a60-1a74-4254-9535-0be2dfd43823.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030917710100111197.html
全新精装套三  小区好停车 繁华中的宁静,76,6637.6,草甸苑,"['彭州', '彭州']",3室2厅2卫,114.5㎡,南,精装,高楼层 (共6层),无,普通住宅,2019-03-09,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/c8cac4192975dfa3dbb9b80a73abe10c/screenshot/1553827231_1/pc0_tuZadYPQa.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-99ffcf9f-9e56-4dc9-827f-2605f47702ca.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-4110c53b-b254-43d7-91d3-c05aafd86007.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-628f8b74-ca5c-4d69-8b4e-ea671a482d4c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9a7e19ee-533b-4569-917d-ab8c48bd276b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f4afaec1-c869-47d7-b98c-9472db1007d6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030917710100116346.html
优雅小区环境，出门高铁，交通方便！,64.5,6711.8,赛纳花苑,"['彭州', '彭州']",2室2厅1卫,96.1㎡,南,毛坯,高楼层 (共11层),有,普通住宅,2019-03-09,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d5841c6934b677178b8500bcd376fd2d/screenshot/1552185052_7/pc0_dgVRa2xlE.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-61512295-ceaf-4463-bffc-a2a27e6009ff.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-5fd9a08e-8e69-42d6-91e9-41dd7def2a29.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-55736c33-715c-452d-acf7-4f1eebd791b1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030917710100133397.html
此房双证有税，不能按揭，要全款,60,9259.3,宝阁丽公馆,"['彭州', '彭州']",2室2厅1卫,64.8㎡,东南 西北,精装,中楼层 (共18层),有,普通住宅,2019-03-10,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/de0182893c4efaafc1229701c89f4b4a/screenshot/1555405141_2/pc0_AXHF1GjJK.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-97072a1d-c8c7-4328-a01b-f521dcddc399.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-1c36d20a-332e-49ba-aeae-49c32f97ed03.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a9853e32-7e04-40e6-b398-f2ae07ccd4b4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ef7e3d5c-1a5a-4579-b974-d788d5e9b183.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031017710100140097.html
