title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
简装大套三双卫 下跃 使用面积大 小区环境好   有车位,95,4471.2,力合上域中央,"['青白江', '青白江']",3室2厅2卫,212.47㎡,南 北,毛坯,低楼层 (共11层),无,普通住宅,2018-09-27,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/5ce97bb4b80c6b4ac7310e70fc57afe8/screenshot/1555579088_3/pc0_RzRbBmRYC.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-52f99d50-1fd5-410a-ae56-a5aa5744ae36.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-4e28d9ca-742e-4986-88c8-798c63155547.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-fe4a59e8-69dc-4445-bee5-e5f49b8de818.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0502642d-3283-48b7-96c7-557ed5524f1d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710103922757.html
宏恩康城 精装套三 户型方正 可拎包入住,63.8,7418.6,宏恩康城,"['青白江', '青白江']",3室2厅1卫,86㎡,东南,精装,低楼层 (共11层),有,普通住宅,2018-11-10,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6dd131140982e5dbb0da5c07e5fa1e87/screenshot/1542881380_1/pc0_tGKQcJxMD.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-8cf98ea0-f224-4649-86cb-14be16eda4c3.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-68b10a09-69f0-421e-82b8-f6f58080e214.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-516b3207-24d4-423c-a111-cc3c0d14d634.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a9498aad-1473-4f2e-b666-be228bad5724.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-477cc9f0-e7e8-4a59-b7cd-bf8cef6681aa.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104005689.html
凤凰湖国际社区 凤凰湖边 房东诚心出售 中间楼层,75,8620.7,凤凰湖国际社区,"['青白江', '青白江']",2室2厅1卫,87㎡,东南,精装,中楼层 (共11层),有,普通住宅,2018-12-06,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/b466dda3849f13ac9a5e0af5397b3075/screenshot/1570437782_0/pc0_88DAsQiOg.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_ngkmfwKhh_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_5cbeb586-e909-4afb-b697-ba6ea8e5d3c6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_lnO0fTl4R_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_6UFQ5E00w_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104197699.html
一楼自带二十平私家花园 户型方正 南北通透,82,7809.5,经典华庭,"['青白江', '青白江']",3室2厅2卫,105㎡,南 北,简装,低楼层 (共7层),有,普通住宅,2019-04-13,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3dfdc6d9df1950a0ed9edd9720072f82/screenshot/1555219020_0/pc0_232kghyL2.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a116d10b-0e2b-4f14-b9da-5b13c4b6843c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-74fab722-078a-4a90-a61c-cbeda495aabe.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0100b16a-7484-45ca-80ce-9ff884d5952e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ffe4a2bd-bb6f-47c2-b09d-4b89a68bbaaa.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-fef3f2de-c017-48f7-8418-83dca6d59fe6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104577942.html
绣水蓝庭 清水内跃 套三带花园,53,4810.7,绣水蓝庭,"['青白江', '青白江']",3室2厅2卫,110.17㎡,南,毛坯,高楼层 (共7层),无,普通住宅,2018-10-30,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/17ab7767eaffb63876e193c1af2a00be/screenshot/1545536082_16/pc0_GODrnxtXH.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-6975b610-d965-4009-bbc2-1f447183c1e2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-550b84b8-3985-427d-9e5d-4cf7f774d371.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4ae3319d-5e70-4ebe-8d62-3ad08e2b4e80.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d9c3dbea-8da6-4f97-bfc7-7c4b04112b4e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b71f0b34-218f-4333-af44-0a9eec27ee8a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104578537.html
精装套一，采光好，小房子也有大风景,39,7069.1,川化住宅区,"['青白江', '青白江']",1室1厅1卫,55.17㎡,西,精装,高楼层 (共18层),有,普通住宅,2018-10-10,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/bbf99f92a681722ee745fa1c4a410fb6/screenshot/1556004787_1/pc0_ZeaQVHJBo.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-be9f7db3-1f5a-49a9-8ee1-0d6dc9537f1e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-1d3a5cc3-4660-4822-b71a-ed786bed6bd3.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7a277229-a62e-40f8-b34c-7bb000d82b79.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-222e5ae1-0f32-4cd2-9f01-c99356384e7c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9f936cb3-1cf0-4145-857d-bc098a0d5d89.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104656341.html
lofft 70年住宅区政府和区新广场旁 未来的湿地公园,61.5,6152.5,齐盛艺品,"['青白江', '青白江']",3室2厅1卫,99.96㎡,西北,毛坯,高楼层 (共17层),无,普通住宅,2018-09-27,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/7783138b8f9981358fa18c142a28fdf4/screenshot/1548309714_0/pc0_XQ4K3oEJE.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-d9ff03ef-6508-4d48-bc73-799a7ffc5549.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-ac57fd18-633d-4c18-a263-2c2f864d44bc.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5bb6ecf9-74a5-4c97-b35c-eac157ebfdd0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-87b06449-0a3c-4c89-b183-0e0b9ec8701b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-e5439a34-1a57-4ac0-93e4-a276af9eeef9.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104676997.html
瀚城新天地清水套三房东诚心出售看房方便,77.5,7045.5,瀚城新天地,"['青白江', '青白江']",3室2厅1卫,110㎡,南,毛坯,中楼层 (共33层),有,普通住宅,2018-10-01,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/b67b9d71aeb9a2c68807c03b026d1346/screenshot/1543043501_19/pc0_2bW1bOA26.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a9bbe4af-2e07-4dd0-b941-899581072b42.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-27fb9382-f238-43dd-ab94-d98e8c67c3f4.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f2028729-6376-4d76-bafd-a04bd61b7cd4.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3c72e72e-7139-4d90-9291-49e4a48af4ef.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5c6fdf3a-4f82-47bf-baab-0efd5c49fcfb.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-4a607691-ee75-4c32-b57e-8a0c1ed307da.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104717135.html
瀚城国际清水套三，价格美丽，繁华地段。,78,7500,瀚城国际,"['青白江', '青白江']",3室2厅1卫,104㎡,东,毛坯,低楼层 (共33层),有,普通住宅,2018-09-27,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/4f07ffbf6cbc1df4784bccffda1d433a/screenshot/1544078932_0/pc0_C7tib9Mr9.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-d66de7bb-db11-41a6-8cfc-ba729a1201cf.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-0133e734-e503-4764-900a-36dee44c6109.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c7e4cc11-70fe-4641-85aa-dbe01799e45e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-011d0d02-2f3a-4fcf-9ea7-dea84bc8190f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-21dedc8b-e609-4756-94a9-f3481b054eeb.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104996475.html
中华名城清水套二，次新小区，出行方便,63.6,7438.6,中华名城,"['青白江', '青白江']",2室2厅1卫,85.5㎡,东,毛坯,低楼层 (共18层),有,普通住宅,2018-12-08,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/9c2ba4373cd525339d5dd9ae44fa3f88/screenshot/1547878977_0/pc0_C1TmrLYWM.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-6345fd01-1b41-4bea-9c55-3124bfed2049.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-0143a9e9-78ad-41e4-af84-d37b640cef4b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-bb84f918-02e4-4666-be6a-9fff5e0084a0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5f828a64-bb23-41d7-83dc-f30ead5d8ab0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-feac9cfc-8985-4195-8a1c-947e20169d50.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a2fd7499-f6ff-4723-9182-206b4910ce5a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105108330.html
