title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
保利紫荆花语 清水套三单卫 客厅带阳台,90,11465,保利紫荆花语,"['新都', '保利公园']",3室2厅1卫,78.5㎡,西南,毛坯,低楼层 (共33层),有,普通住宅,2018-06-27,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6ca6afb2e0797106b8d626eb4ab4b2b7/screenshot/0_0/pc0_ZoZDehLCq.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-d4446a86-c144-47d9-9577-1640129ed729.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-35536743-7861-4a53-8fe2-89628bd1b4dd.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-b8e4b79a-377e-4c64-ac0c-654980a7e8f4.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-038c556d-34aa-4312-9bd0-6f4166cf96b1.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-7a57a55a-cdb4-4f67-a738-ffb740fff62e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-4cd84e7e-d16f-4398-9725-e52ced682d92.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104325597.html
电梯房，户型方正，套二*套三。,66,6270.2,天府香城,"['新都', '新都城区']",2室1厅2卫,105.26㎡,东南,简装,中楼层 (共5层),有,普通住宅,2018-09-06,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/63f7bdadc580c35ac08cd0b135b96a07/screenshot/0_5/pc0_pulZlENPQ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-8576842f-f376-474b-929b-73b581c58a9b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-571b0020-c017-4ceb-a012-ec03e64f084c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-308bb360-a3e1-4574-96a2-c96fb8158fdc.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-c9629db6-11c8-4109-9fef-fec7f245bf3e.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104596544.html
万科五龙山九墅多层洋房带花园，底跃,303,12087.6,万科五龙山九墅,"['新都', '毗河']",4室2厅4卫,250.67㎡,南,毛坯,低楼层 (共6层),有,普通住宅,2018-05-25,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/f0a4a0ae84b94540ecc7c155e42415dc/screenshot/0_1/pc0_wO1wjCt7W.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-b7bed0a1-cc00-4918-a6c2-83cf4ee00413.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-1c6c5748-5756-4597-9d69-68f8e07b8533.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-24752ad6-7f59-4978-8231-a245a7a93597.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-9a070682-d203-450b-853a-236ad05906ea.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-6fbafc0c-89c1-4ee8-a25f-0473949f1606.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-cc7e7786-e5f7-4e51-a5e4-2efef5877945.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-c9a74eca-b8fd-4ca3-8fa5-70e06862c578.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-dcf30055-ddad-486d-b5d4-c4bfac0cdb61.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104870541.html
御城  装修精美 房屋保养好  跃层  配套完善,66.7,9538.1,御城,"['新都', '新都城区']",2室1厅2卫,69.93㎡,东,精装,高楼层 (共26层),有,普通住宅,2018-10-31,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/cb451a540407acfdad9118644642bbba/screenshot/1546148830_2/pc0_43zLM3S8y.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-e62b622f-732b-472f-a8be-876ca7b29c29.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-ca14dc5f-9838-4780-94d3-8ea765d5cf1e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c8c4178f-8a09-4edc-ba8c-329b9187ac7f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105654791.html
9+1洋房，临湖临公园，层高3.5米，包含家具产权车位,299,18342.4,万科五龙山九墅,"['新都', '毗河']",3室2厅2卫,163.01㎡,西南,精装,中楼层 (共9层),有,普通住宅,2018-08-17,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/2b10843edd637149d54995670059faf6/screenshot/0_0/pc0_SW41xVghh.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-cd30742e-f3d9-4f46-acc6-d8b85263b796.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-2504909f-36d5-496d-a7a9-e4351c364d7f.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-6066eba9-ab86-4214-967f-294cb18cab52.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-75cf64d3-8153-46ba-8df9-6bbfdae594f0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-d7709f31-1502-4ef0-86ce-e0943be9d0bd.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105698284.html
英伦世家    精装  电梯房,179.5,9205.1,英伦世家,"['新都', '新都城区']",4室2厅2卫,195㎡,东,简装,高楼层 (共16层),有,普通住宅,2018-11-07,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/167302cae4d07d6cdc4aec57d823020b/screenshot/1550987896_11/pc0_duKfGClPT.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-f8649d35-8e5b-4bce-994b-aad016494e75.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-3342306a-4c8d-4874-920b-63ec6bb29de0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-201e4640-0263-4898-bd05-108f1a218c73.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d9729ccc-ec7f-4964-b7fd-d0ecba8bd55a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b20067a9-d8c4-48b0-8a01-2bb0ef051e91.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-80d24037-f5ba-428a-8798-2a77cfa9e5c9.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710106307838.html
橄榄郡标间，带装修，拎包入住。,33,7199,橄榄郡,"['新都', '新都城区']",1室0厅1卫,45.84㎡,东,简装,高楼层 (共23层),有,普通住宅,2018-07-13,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/fc296f126f6bfc026b4caf4ef502405b/screenshot/0_2/pc0_i0jxr778O.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-01019dd0-26f6-42d8-a182-61b97b2cc992.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-29ebfc04-d68e-4b78-9e0d-22c9fa3c8946.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-79f66ded-43e1-4605-a053-38db2bc03ac4.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107789547.html
学邻名苑 1室0厅1厨1卫 18.94平米,13.8,7286.2,学邻名苑,"['新都', '新都城区']",1室0厅1卫,18.94㎡,东南,精装,高楼层 (共6层),无,普通住宅,2018-10-24,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/6849a22ea8cd19fbac820167008f6b05/screenshot/1541053451_3/pc0_Zy4heQuEO.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-e47ef478-c78b-4934-8bc4-ffdbce776c78.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-46832b7d-c8ad-4bfd-b0ba-3bc861a5480f.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710108022922.html
东骏湖景湾一期 叠拼别墅 临人工湖有装修,728,17513.5,东骏湖景湾一期,"['新都', '新都城区']",6室5厅5卫,415.68㎡,东北,精装,低楼层 (共6层),无,别墅,2016-10-22,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d3106c109ba62d55fe1034413274f13d/screenshot/0_57/pc0_WfpDqnh1u.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-b2c4cead-624d-477f-8a0a-6f0c689e5388.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-9420f014-81fe-41be-bd27-ccbbd8572384.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-3599a3b2-1461-4fe8-a009-5b9f3905fe78.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-78bb6a8c-faec-4939-abf2-f141140a0032.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-f17bab7a-78ef-48c4-9432-6293a315c1cd.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a90cbe4a-ea3c-4d71-a786-f07758f87b99.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-68fe17f3-ac1e-4964-91f5-ac3205bff753.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-91c76cd4-7a48-4aa9-b430-fca88ccc4bfb.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a319bc43-a8dc-448c-a891-1383d7cd515a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-cbccf359-b8ad-4039-a67c-04739e3cd7f0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-966abba8-d78c-40dd-9f7e-a42c44f4c523.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-440613a6-0c5b-4a78-85ea-9773864339e6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-9ed42858-4733-427b-be2d-7aa279fe1d3f.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710108443556.html
香洲南亭套三单卫.带后花园，环境优美,96,8727.3,香洲南亭,"['新都', '毗河']",3室2厅1卫,110㎡,南,精装,低楼层 (共6层),无,普通住宅,2018-05-15,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ca1c0549a5b5ea2be14b75a17c495c13/screenshot/0_8/pc0_8PSv0z5C5.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-1bb7fb1c-4be0-453d-8caa-19f17c5df3a2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-25893d2e-fd37-4a84-a926-549cf19e0ee0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-9f61124a-ab28-45ac-8ce9-8b9fc1f4399a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-d94471e7-5db5-4aa3-a5d2-bbcb8737da2e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-8e806d8c-2f3d-4258-af93-8534e44da40f.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-49537dbb-4a10-4a29-93b4-095e850fb4a2.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710109204384.html
