title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
牧马山金秋乐园一期+电梯+装修,55,6943.6,金秋乐园一期,"['新津', '新津']",2室2厅1卫,79.21㎡,南,简装,中楼层 (共7层),有,普通住宅,2018-04-18,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/cccff9cc27e13d60cf4dd6a1419041b0/screenshot/0_2/pc0_ZgDj8aUZV.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-01620e3f-ec69-4560-9888-7a27e637b00c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-67372ee4-08ca-47f5-b6dc-dd0811cb513d.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-4df4f637-8994-4c0d-8181-be7c45acf2b2.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710103894933.html
牧马山脚下的住宅，户型通透，小区绿化好,126,8097.7,汇祥华楠半岛,"['新津', '新津']",4室2厅2卫,155.6㎡,南,毛坯,中楼层 (共7层),无,普通住宅,2018-07-29,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/9db54284779284f07741021af39ef691/screenshot/0_0/pc0_jvv9Qs138.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-11fe2507-6e2f-46af-9e95-71093931e986.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-046933d6-21bc-4630-b12a-c6d38855f2bd.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-5a0f71c4-262a-4579-8e68-255967ef7038.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-37e234a4-6289-45bf-9145-54a680765d98.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-65fa1271-9fdc-40ee-9e82-e1653620f8a6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-eb3e58bd-46b5-4d3e-b062-aef6105935b5.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104127538.html
新津时代晶座套2简装+带电梯+采光好,76,11312.9,时代晶座(新津),"['新津', '新津']",2室2厅2卫,67.18㎡,西 北,简装,中楼层 (共14层),有,普通住宅,2018-05-24,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/87a727e9632c0efb7c6d4d978d7f9dac/screenshot/0_1/pc0_IBKXp8c0W.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-f0983c14-cc96-446a-adfa-d2dbbf2ddc7b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-b04c1d26-438a-4580-8067-9888a79c667a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-e7c762d4-f307-4895-834a-c23e2a787d81.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-cfb069aa-bc99-4d24-9980-d6a2adf70b57.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104215830.html
金秋乐园一期，电梯房，套一清水房。,40,6743.1,金秋乐园一期,"['新津', '新津']",1室1厅1卫,59.32㎡,东南 南,毛坯,低楼层 (共7层),有,普通住宅,2018-09-23,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/55eed3c8ff84fb212da32e14c48a73e9/screenshot/0_2/pc0_Dbhhwx8PT.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-3938bcc1-a685-466d-9cf3-cbe63b66141a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-70a71ef5-7d98-4292-9d87-172a9a77da1d.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104567658.html
大套四，电梯洋房，小区环境好。,125,9556.6,金融金控中心,"['新津', '新津']",4室2厅2卫,130.8㎡,南,简装,低楼层 (共14层),有,普通住宅,2018-10-12,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3f67f36bb28b325baaba86ad08f56d4b/screenshot/1542530184_1/pc0_AXMzKXA31.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-96ab53d1-fae2-4a60-a9d3-33c30402e44c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-19f4f49f-d42f-431f-b80a-4f618776bb82.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-6b080ed7-9056-4826-99cb-4ea9fa37abe2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-28bcb818-6986-483d-bdf1-059021f61f4a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-3d5dd379-e8ef-46b7-a9bc-88c34799c6b6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104632688.html
牧马山下，杨柳河边，华楠半岛，套二,88,10686.1,汇祥华楠半岛,"['新津', '新津']",2室2厅1卫,82.35㎡,西南,精装,低楼层 (共6层),无,普通住宅,2018-05-12,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/2b3a80ad835385e766aa38eddc588f65/screenshot/0_0/pc0_7HwzeGY8J.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-a053888b-a288-4e7d-abb5-5338a73402fa.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-2214a67a-a4a8-433a-b181-b9944d309044.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-1d0bc783-fbb5-4227-9705-047bb6b7945a.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104807013.html
新津金融金控套二简装-带电梯，采光好,89,10197.1,金融金控中心,"['新津', '新津']",2室1厅1卫,87.28㎡,西南,简装,中楼层 (共14层),有,普通住宅,2018-10-10,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/e18c9dd87d5f3c28ed2607341d9e769b/screenshot/1575171906_6/pc0_eaYQcYxhO.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_LlCRSXAJC_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_df87d49d-be6c-4111-8da5-9f12b826dffb.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_gQKefZVws_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_KtqRBPQ3D_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104825564.html
新筑巴伦西亚，  套三，临湿地公园,112,9169.8,新筑巴伦西亚一期,"['新津', '新津']",3室2厅2卫,122.14㎡,南 北,毛坯,低楼层 (共15层),有,普通住宅,2018-10-26,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/2e8c7cd03b6dd7ef759ab4ad433eab7e/screenshot/1541226184_5/pc0_K20yfNxRn.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-e5a2f9d4-9838-4c74-98e2-23f94a76d7ac.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-04092897-30f3-4cde-a507-d64eac1ac083.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-b8e14b83-7d98-4164-b71b-37991ac44c66.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-124a6477-c616-4c90-b1a2-ca95c7cfba5c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104827166.html
简装小套三，有垫高底楼，视野开阔。不潮湿。,81,8554.2,天馨花园,"['新津', '新津']",3室1厅1卫,94.69㎡,西南,简装,低楼层 (共17层),有,普通住宅,2018-07-08,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/1582e8f027f2d3df6045c78c5fcce7aa/screenshot/0_3/pc0_RwgbLfh85.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-7b1966d6-013d-41d4-a6b4-d3e38968d447.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-e7df17f5-5071-4991-8565-39a7c678b4fe.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-3cfc487f-0057-4edd-beb4-f580aa7a7983.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-bd91a118-e6c0-4d40-9653-ecc2c483dc93.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-be6da601-e494-4d8c-ad2b-b49b73ab243d.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-ffec11bc-d316-486a-b572-850af127a3ef.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104829534.html
金秋一期，好房子，值得拥有，，，,23,5609.8,金秋乐园一期,"['新津', '新津']",1室1厅1卫,41㎡,南,毛坯,中楼层 (共4层),有,普通住宅,2018-04-11,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/05bdf4fe369644a193164a7f0816147e/screenshot/0_2/pc0_iy8Yjvl6X.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/hdic-frame/test-3bf88ac9-77e6-4899-ae9a-8b193309f7d4.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710104889639.html
